month,male,female,total
2002-01,"34,114","32,043","66,157"
2002-02,"28,429","26,649","55,078"
2002-03,"32,173","30,326","62,499"
2002-04,"33,367","31,799","65,166"
2002-05,"34,002","32,096","66,098"
2002-06,"29,646","27,941","57,587"
2002-07,"34,192","32,215","66,407"
2002-08,"34,212","31,886","66,098"
2002-09,"36,333","34,102","70,435"
2002-10,"37,765","36,031","73,796"
2002-11,"32,689","30,901","63,590"
2002-12,"30,236","28,640","58,876"
2003-01,"35,782","34,241","70,023"
2003-02,"28,709","27,339","56,048"
2003-03,"31,027","29,257","60,284"
2003-04,"31,958","30,094","62,052"
2003-05,"33,051","30,645","63,696"
2003-06,"32,337","30,758","63,095"
2003-07,"35,016","32,796","67,812"
2003-08,"33,601","31,950","65,551"
2003-09,"36,557","33,886","70,443"
2003-10,"35,956","33,734","69,690"
2003-11,"32,087","30,556","62,643"
2003-12,"34,547","32,561","67,108"
2004-01,"33,730","32,033","65,763"
2004-02,"30,337","28,761","59,098"
2004-03,"35,732","33,390","69,122"
2004-04,"33,608","31,778","65,386"
2004-05,"33,216","31,461","64,677"
2004-06,"34,727","32,566","67,293"
2004-07,"35,944","34,006","69,950"
2004-08,"38,191","35,773","73,964"
2004-09,"39,209","36,591","75,800"
2004-10,"36,755","35,269","72,024"
2004-11,"37,218","35,476","72,694"
2004-12,"34,097","32,725","66,822"
2005-01,"33,189","31,931","65,120"
2005-02,"29,372","27,500","56,872"
2005-03,"34,693","32,776","67,469"
2005-04,"32,947","31,110","64,057"
2005-05,"34,365","32,594","66,959"
2005-06,"32,792","30,778","63,570"
2005-07,"33,105","31,099","64,204"
2005-08,"38,534","36,429","74,963"
2005-09,"39,064","36,852","75,916"
2005-10,"37,986","36,111","74,097"
2005-11,"35,473","33,434","68,907"
2005-12,"34,691","32,982","67,673"
2006-1,"33,558","31,551","65,109"
2006-2,"28,807","27,003","55,810"
2006-3,"34,000","31,585","65,585"
2006-4,"31,434","29,813","61,247"
2006-5,"36,093","33,777","69,870"
2006-6,"33,439","31,343","64,782"
2006-7,"34,457","32,357","66,814"
2006-8,"37,344","34,799","72,143"
2006-9,"36,908","34,577","71,485"
2006-10,"38,459","36,508","74,967"
2006-11,"36,209","33,857","70,066"
2006-12,"33,341","31,705","65,046"
2007-1,"35,839","33,455","69,294"
2007-2,"30,866","28,976","59,842"
2007-3,"33,521","31,712","65,233"
2007-4,"32,957","31,082","64,039"
2007-5,"34,663","32,495","67,158"
2007-6,"33,936","31,728","65,664"
2007-7,"32,647","30,788","63,435"
2007-8,"40,051","38,251","78,302"
2007-9,"34,917","32,853","67,770"
2007-10,"40,021","37,769","77,790"
2007-11,"36,147","34,315","70,462"
2007-12,"32,218","30,177","62,395"
2008-1,"35,948","34,184","70,132"
2008-2,"30,593","28,662","59,255"
2008-3,"31,409","29,340","60,749"
2008-4,"31,953","30,047","62,000"
2008-5,"32,603","30,651","63,254"
2008-6,"31,687","29,887","61,574"
2008-7,"35,736","33,357","69,093"
2008-8,"35,956","33,774","69,730"
2008-9,"38,551","36,108","74,659"
2008-10,"37,597","35,299","72,896"
2008-11,"32,857","31,189","64,046"
2008-12,"35,847","34,121","69,968"
2009-1,"32,467","30,921","63,388"
2009-2,"29,293","27,742","57,035"
2009-3,"32,790","30,702","63,492"
2009-4,"32,177","29,790","61,967"
2009-5,"31,574","29,488","61,062"
2009-6,"33,281","31,133","64,414"
2009-7,"34,251","32,551","66,802"
2009-8,"35,292","33,239","68,531"
2009-9,"38,741","36,268","75,009"
2009-10,"38,381","35,749","74,130"
2009-11,"34,048","32,435","66,483"
2009-12,"33,675","31,751","65,426"
2010-1,"31,767","29,840","61,607"
2010-2,"28,553","26,916","55,469"
2010-3,"33,311","31,272","64,583"
2010-4,"31,084","29,347","60,431"
2010-5,"30,397","28,587","58,984"
2010-6,"32,081","30,574","62,655"
2010-7,"33,076","31,151","64,227"
2010-8,"35,895","33,740","69,635"
2010-9,"36,848","34,846","71,694"
2010-10,"34,135","31,915","66,050"
2010-11,"34,481","32,598","67,079"
2010-12,"32,713","31,243","63,956"
2011-1,"31,366","29,732","61,098"
2011-2,"26,177","24,720","50,897"
2011-3,"31,580","29,575","61,155"
2011-4,"31,662","29,863","61,525"
2011-5,"33,698","31,767","65,465"
2011-6,"32,651","30,845","63,496"
2011-7,"33,847","31,545","65,392"
2011-8,"40,128","37,716","77,844"
2011-9,"38,926","36,503","75,429"
2011-10,"37,127","34,943","72,070"
2011-11,"37,352","35,122","72,474"
2011-12,"35,710","33,536","69,246"
2012-1,"35,194","33,197","68,391"
2012-2,"30,945","29,166","60,111"
2012-3,"32,499","30,695","63,194"
2012-4,"32,209","30,181","62,390"
2012-5,"34,453","32,103","66,556"
2012-6,"33,441","30,992","64,433"
2012-7,"36,623","34,243","70,866"
2012-8,"39,358","36,491","75,849"
2012-9,"37,704","35,751","73,455"
2012-10,"40,683","38,758","79,441"
2012-11,"35,649","33,916","69,565"
2012-12,"33,225","31,499","64,724"
2013-1,"36,343","34,212","70,555"
2013-2,"29,227","27,329","56,556"
2013-3,"32,060","30,058","62,118"
2013-4,"34,202","31,776","65,978"
2013-5,"34,417","32,731","67,148"
2013-6,"30,491","28,907","59,398"
2013-7,"34,864","32,485","67,349"
2013-8,"33,910","31,861","65,771"
2013-9,"35,360","33,490","68,850"
2013-10,"37,706","35,188","72,894"
2013-11,"33,451","31,752","65,203"
2013-12,"30,991","29,318","60,309"
2014-1,"34,515","32,883","67,398"
2014-2,"28,195","26,174","54,369"
2014-3,"30,786","29,208","59,994"
2014-4,"32,153","30,316","62,469"
2014-5,"33,055","30,873","63,928"
2014-6,"31,384","29,450","60,834"
2014-7,"34,056","31,915","65,971"
2014-8,"33,598","31,011","64,609"
2014-9,"38,239","35,827","74,066"
2014-10,"38,136","36,366","74,502"
2014-11,"31,728","30,527","62,255"
2014-12,"34,007","31,968","65,975"
2015-1,"30,880","29,327","60,207"
2015-2,"25,906","24,346","50,252"
2015-3,"29,569","27,992","57,561"
2015-4,"29,839","28,226","58,065"
2015-5,"30,013","28,149","58,162"
2015-6,"31,146","29,460","60,606"
2015-7,"31,770","30,047","61,817"
2015-8,"34,432","32,364","66,796"
2015-9,"35,194","33,386","68,580"
2015-10,"34,787","33,459","68,246"
2015-11,"32,831","31,208","64,039"
2015-12,"31,670","30,351","62,021"
2016-1,"29,521","28,069","57,590"
2016-2,"27,215","25,698","52,913"
2016-3,"28,965","27,494","56,459"
2016-4,"28,853","27,323","56,176"
2016-5,"30,290","28,313","58,603"
2016-6,"28,918","27,556","56,474"
2016-7,"28,905","27,284","56,189"
2016-8,"32,439","30,712","63,151"
2016-9,"33,141","30,823","63,964"
2016-10,"31,711","29,569","61,280"
2016-11,"31,501","29,657","61,158"
2016-12,"30,936","29,165","60,101"
2017-1,"28,370","26,924","55,294"
2017-2,"24,533","22,784","47,317"
2017-3,"29,663","28,085","57,748"
2017-4,"27,996","26,297","54,293"
2017-5,"31,186","29,254","60,440"
2017-6,"29,321","27,277","56,598"
2017-7,"29,297","27,091","56,388"
2017-8,"32,761","30,805","63,566"
2017-9,"33,310","30,933","64,243"
2017-10,"33,632","31,740","65,372"
2017-11,"32,446","30,650","63,096"
2017-12,"30,113","28,535","58,648"
2018-1,"30,506","28,967","59,473"
2018-2,"25,097","23,777","48,874"
2018-3,"28,520","26,456","54,976"
2018-4,"27,768","25,970","53,738"
2018-5,"27,950","26,259","54,209"
2018-6,"26,329","24,865","51,194"
2018-7,"28,266","26,068","54,334"
2018-8,"31,079","29,245","60,324"
2018-9,"29,375","27,920","57,295"
2018-10,"31,451","30,199","61,650"
2018-11,"29,799","27,673","57,472"
2018-12,"27,087","25,740","52,827"
2019-1,"29,330","27,666","56,996"
2019-2,"23,577","22,418","45,995"
2019-3,"25,197","23,799","48,996"
2019-4,"26,819","25,190","52,009"
2019-5,"27,203","25,267","52,470"
2019-6,"23,519","22,933","46,452"
2019-7,"27,167","25,402","52,569"
2019-8,"27,254","25,920","53,174"
2019-9,"27,945","26,496","54,441"
2019-10,"28,834","27,115","55,949"
2019-11,"25,675","24,580","50,255"
2019-12,"25,193","23,706","48,899"
2020-1,"26,706","24,881","51,587"
2020-2,"21,758","20,484","42,242"
2020-3,"24,877","23,256","48,133"
2020-4,"24,807","23,013","47,820"
2020-5,"24,624","23,291","47,915"
2020-6,"25,368","23,819","49,187"
2020-7,"26,143","24,259","50,402"
2020-8,"26,460","24,842","51,302"
2020-9,"28,029","26,170","54,199"
2020-10,"26,317","24,885","51,202"
2020-11,"25,018","23,826","48,844"
2020-12,"22,729","21,806","44,535"
2021-1,"20,525","19,281","39,806"
2021-2,"18,476","17,367","35,843"
2021-3,"23,979","22,827","46,806"
2021-4,"22,320","21,065","43,385"
2021-5,"22,723","21,228","43,951"
2021-6,"22,743","21,372","44,115"
2021-7,"23,939","22,491","46,430"
2021-8,"26,057","24,621","50,678"
2021-9,"26,077","24,605","50,682"
2021-10,"24,227","22,891","47,118"
2021-11,"25,516","23,873","49,389"
2021-12,"23,969","22,398","46,367"
2022-1,"21,163","20,090","41,253"
2022-2,"18,180","17,003","35,183"
2022-3,"20,684","19,214","39,898"
2022-4,"18,794","17,643","36,437"
2022-5,"20,057","18,842","38,899"
2022-6,"20,991","19,398","40,389"
2022-7,"19,965","18,430","38,395"
2022-8,"25,899","23,749","49,648"
2022-9,"25,589","24,094","49,683"
2022-10,"24,212","22,830","47,042"
2022-11,"22,587","21,082","43,669"
2022-12,"21,437","20,174","41,611"
2023-1,"22,757","21,358","44,115"
2023-2,"19,837","18,868","38,705"
2023-3,"22,554","21,265","43,819"
2023-4,"19,589","18,320","37,909"
2023-5,"22,144","20,990","43,134"
2023-6,"21,728","20,293","42,021"
2023-7,"21,488","20,343","41,831"
2023-8,"24,363","23,095","47,458"
2023-9,"24,148","22,601","46,749"
2023-10,"24,322","22,987","47,309"
2023-11,"22,513","21,398","43,911"
2023-12,"20,983","19,990","40,973"
2024-1,"20,676","19,559","40,235"
2024-2,"17,624","16,462","34,086"
2024-3,"19,037","17,677","36,714"
2024-4,"20,146","18,570","38,716"
2024-5,"19,711","18,538","38,249"
2024-6,"17,416","16,517","33,933"
2024-7,"20,242","18,802","39,044"
2024-8,"20,684","19,625","40,309"
2024-9,"21,898","20,367","42,265"
2024-10,"22,201","20,815","43,016"
2024-11,"20,166","19,059","39,225"
2024-12,"18,666","17,782","36,448"
2025-1,"19,015","17,835","36,850"
2025-2,"15,290","14,388","29,678"
2025-3,"17,563","15,871","33,434"
2025-4,"17,982","16,975","34,957"
2025-5,"17,596","16,415","34,011"
2025-6,"16,482","15,763","32,245"
2025-7,"17,886","16,685","34,571"
2025-8,"17,675","16,896","34,571"
2025-9,"20,337","18,990","39,327"
2025-10,"20,133","18,909","39,042"
2025-11,"16,614","15,836","32,450"
2025-12,"18,462","16,976","35,438"
2026-1,"15,987","15,408","31,395"
2026-2,"14,025","13,283","27,308"
,,,
,,,
,,,
,,,
